name,objectID,picIDs,picURLs,categoryName,typeName,period,dynasty,year
清乾隆款景德镇窑青釉八棱瓶,c9a297a4d72747f3ae66ff0a2cf42ac3,3ff3c963-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1772.jpg,瓷器,瓶,清,乾隆,1765.5
清光绪款景德镇窑粉彩花卉纹盘,c9e863c46fde4a5e8a59e91732ea0d8e,3444eb4c-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1308.jpg,瓷器,盘,清,光绪,1891.5
清宣统釉下五彩葡萄纹瓶,ca65d16d890e4138ac8113adce902564,42eeea0c-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1892.jpg,瓷器,瓶,清,宣统,1910.0
清乾隆景德镇窑青花加紫八仙过海图碗,ca983cc1bbe4413fa50684d3c5d39920,46c767b8-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2058.jpg,瓷器,碗,清,乾隆,1765.5
清康熙景德镇窑青花八卦纹酒杯,cab8a58b9f50493e88bc9a317aec5b68,3a4e9c1f-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1551.jpg,瓷器,杯,清,康熙,1691.5
清同治款景德镇窑粉彩三阳开泰纹碗,cabc257609a34cdfa2808ac9b5674a44,3616094d-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1378.jpg,瓷器,碗,清,同治,1868.0
清乾隆景德镇窑霁蓝釉方瓶,cac58ffa84b248449dd320f3ce259d25,3f5434b0-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1746.jpg,瓷器,瓶,清,乾隆,1765.5
清康熙三彩狮子,caca9be4852645de911d0e4fdbed466c,3b1a648f-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1582.jpg,瓷器,NA,清,康熙,1691.5
清雍正款景德镇窑青花缠枝莲纹盘,cad6624f37e544eab9260c0347855d79,3df03a61-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1691.jpg,瓷器,盘,清,雍正,1728.5
清嘉庆景德镇窑青花缠枝花卉纹罐,cb38472a8886430096b899b00362f392,48b36bf5-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2134.jpg,瓷器,罐,清,嘉庆,1808.0
清康熙款景德镇窑青花仕女图盘,cb5d1e5ae2744a2faa4e8079a88b57f1,37e013cd-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1449.jpg,瓷器,盘,清,康熙,1691.5
清雍正款景德镇窑青花灵芝纹八棱罐,cbd9b4a359aa4528a5943e408f60c098,3e72e3db-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1712.jpg,瓷器,罐,清,雍正,1728.5
清雍正景德镇窑仿哥釉盘,cbe12aa15cd74ff5939d915408612ecf,3ee00d94-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1729.jpg,瓷器,盘,清,雍正,1728.5
清康熙仿成化款景德镇窑青花束莲纹盘,cbfec272addd402db8a52bfd902e64fd,3b02dc14-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1578.jpg,瓷器,盘,清,康熙,1691.5
清雍正景德镇窑青花龙凤纹酒杯,cc4eb03e94de486084f70d494e13d074,36bb84a1-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1404.jpg,瓷器,杯,清,雍正,1728.5
清康熙款景德镇窑黄地绿彩龙纹碗,ccaf59b801004c988ba2f530717a133e,37094f33-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1416.jpg,瓷器,碗,清,康熙,1691.5
清同治款景德镇窑黄地粉彩蝙蝠贤良寺供碗,cccb08ddb5c04d358cff8a50bbb2a256,36988578-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1399.jpg,瓷器,碗,清,同治,1868.0
清咸丰款景德镇窑冬青釉团凤纹碗,cd797a9b751749daa8063587c402d045,358cbdf6-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1358.jpg,瓷器,碗,清,咸丰,1855.5
清嘉庆景德镇窑青花花卉纹罐,cd7fc33c0ef64a0ba6159fa9ff82f006,4095d86a-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1798.jpg,瓷器,罐,清,嘉庆,1808.0
雍正款绿八子碗,cdaff38fe577409cbd7ec3fe094939d2,540f4590-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2581.jpg,瓷器,碗,NA,雍正,1728.5
清同治款景德镇窑抹红贤良寺制缠枝莲纹碗,ce1a624306724fd1ba29f3852596eb83,366da29c-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1392.jpg,瓷器,碗,清,同治,1868.0
清康熙景德镇窑青花牡丹狮纹罐,ce3212b71acf46178831d0b6fc2cc142,3b54590e-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1591.jpg,瓷器,罐,清,康熙,1691.5
清康熙景德镇窑洒蓝釉金彩博古图笔筒,ce3d3dca2cdc462a9c8ad59aa8f6e823,3cf1d177-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1655.jpg,瓷器,筒,清,康熙,1691.5
清道光款景德镇窑粉彩婴戏图盖碗,cf6706b04c6d460db58009b4082c9fb6,493a4d25-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2154.jpg,瓷器,碗,清,道光,1835.0
嘉庆御制诗粉彩花口盘,cf85a491041746d1872f5205d5f3f6fc,63e2763e-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.3896.jpg,瓷器,盘,NA,嘉庆,1808.0
清同治长春同庆款景德镇窑红地开光百喜纹碗,cfe1a3bd930c409e98c52aeaeb1fa20a,363c2bef-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1384.jpg,瓷器,碗,清,同治,1868.0
清雍正仿成化款景德镇窑斗彩八骏图碗,cfecdb78f06a4b589f8c11ab4184d897,3de2c1e5-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1689.jpg,瓷器,碗,清,雍正,1728.5
清乾隆景德镇窑粉彩大吉葫芦图挂屏,d17ca9b381b54492a308fe5f54575478,3fa2a31e-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1761.jpg,瓷器,NA,清,乾隆,1765.5
